"zona","nome_zona","nome_municipio","macrorregiao"
1,"Sé","São Paulo",7
2,"Parque Dom Pedro","São Paulo",7
3,"Praça João Mendes","São Paulo",7
4,"Ladeira da Memória","São Paulo",7
5,"República","São Paulo",7
6,"Santa Ifigênia","São Paulo",7
7,"Luz","São Paulo",7
8,"Bom Retiro","São Paulo",7
9,"Ponte Pequena","São Paulo",7
10,"Canindé","São Paulo",7
11,"Bom Jardim","São Paulo",7
12,"Pari","São Paulo",7
13,"João Teodoro","São Paulo",7
14,"Oriente","São Paulo",7
15,"Bresser","São Paulo",7
16,"Brás","São Paulo",7
17,"Gasômetro","São Paulo",7
18,"Independência","São Paulo",7
19,"Cambuci","São Paulo",7
20,"Glicério","São Paulo",7
21,"Aclimação","São Paulo",7
22,"Pires da Mota","São Paulo",7
23,"Centro Cultural","São Paulo",7
24,"Liberdade","São Paulo",7
25,"Treze de Maio","São Paulo",7
26,"Bexiga","São Paulo",7
27,"Bela Vista","São Paulo",7
28,"São Carlos do Pinhal","São Paulo",7
29,"Masp","São Paulo",7
30,"Higienópolis","São Paulo",7
31,"Vila Buarque","São Paulo",7
32,"Consolação","São Paulo",7
33,"Pacaembu","São Paulo",7
34,"FAAP","São Paulo",7
35,"Santa Cecília","São Paulo",7
36,"Marechal Deodoro","São Paulo",7
37,"Rudge","São Paulo",7
38,"Catumbi","São Paulo",7
39,"Belém","São Paulo",7
40,"Quarta Parada","São Paulo",7
41,"Belenzinho","São Paulo",7
42,"Celso Garcia","São Paulo",7
43,"Mooca","São Paulo",7
44,"Alto da Mooca","São Paulo",7
45,"Parque da Mooca","São Paulo",7
46,"Água Rasa","São Paulo",7
47,"Vila Bertioga","São Paulo",7
48,"Regente Feijó","São Paulo",7
49,"Ana Rosa","São Paulo",7
50,"Jardim da Glória","São Paulo",7
51,"Chácara Klabin","São Paulo",7
52,"Vila Mariana","São Paulo",7
53,"Santa Cruz","São Paulo",6
54,"Vila Clementino","São Paulo",6
55,"França Pinto","São Paulo",6
56,"Rodrigues Alves","São Paulo",7
57,"Paraíso","São Paulo",7
58,"Bosque da Saúde","São Paulo",6
59,"Saúde","São Paulo",6
60,"Planalto Paulista","São Paulo",6
61,"Mirandópolis","São Paulo",6
62,"Parque Ibirapuera","São Paulo",6
63,"Jardim Luzitânia","São Paulo",6
64,"Moema","São Paulo",6
65,"Vila Helena","São Paulo",6
66,"Bandeirantes","São Paulo",6
67,"Vila Nova Conceição","São Paulo",6
68,"Chácara Itaim","São Paulo",6
69,"Vila Olímpia","São Paulo",6
70,"Hélio Pelegrino","São Paulo",6
71,"Brooklin","São Paulo",6
72,"Vila Cordeiro","São Paulo",6
73,"Berrini","São Paulo",6
74,"Campinas","São Paulo",7
75,"Pamplona","São Paulo",7
76,"Jardins","São Paulo",7
77,"Clínicas","São Paulo",7
78,"Oscar Freire","São Paulo",7
79,"Trianon","São Paulo",7
80,"Jardim Paulistano","São Paulo",7
81,"Jardim Europa","São Paulo",6
82,"Pinheiros","São Paulo",7
83,"Vila Madalena","São Paulo",7
84,"PUC","São Paulo",7
85,"Cardoso de Almeida","São Paulo",7
86,"Zequinha de Abreu","São Paulo",7
87,"Sumaré","São Paulo",7
