"zona","nome_zona","cod_municipio","nome_municipio","cod_distrito","nome_distrito","area_ha","utm_x","utm_y","area_m2_geom","nome_zona_tab","domicilios","familias","populacao","matriculas_escolares","empregos","automoveis_particulares","viagens_produzidas","viagens_atraidas","area_ha_tab","renda_total","renda_media_familiar","renda_per_capita","renda_mediana_familiar"
1,"Sé",36,"São Paulo",80,"Sé",57.1,333248.369846536,7394779.16524597,569663.586425781,"Sé",1151,1151,3262.00094948746,6363.21771538908,71852.3135318113,325.532915875508,160502.925215666,160157.486349438,57.1,3757211.53946515,3264.30194566912,1151.81190859417,2884.19179697777
2,"Parque Dom Pedro",36,"São Paulo",80,"Sé",113.64,333667.401692682,7395305.51856153,1133693.12182617,"Parque Dom Pedro",2342,2342,5695.00076238394,1433.31851561969,51853.7373113509,890.697572357276,137231.73543004,138306.410673822,113.64,7270944.75163794,3104.5878529624,1276.72410505426,2884.19179697777
3,"Praça João Mendes",36,"São Paulo",80,"Sé",47.75,333390.619954508,7394200.103785,476395.732177734,"Praça João Mendes",7100,7100,17130.0009803903,2398.53140278149,18547.3468335027,1166.00630920349,62970.9909817022,62502.8370368456,47.75,27827234.56239,3919.32881160423,1624.47361177885,3400
4,"Ladeira da Memória",36,"São Paulo",67,"República",75.11,332449.198805268,7394473.10440951,749317.140136719,"Ladeira da Memória",12588,12588,24088.9988800537,1126.74369105491,22553.9406036192,3400.88513693558,78183.9689439439,78285.562274735,75.11,65571510.6289716,5209.04914434156,2722.05212659404,3579.57730072334
5,"República",36,"São Paulo",67,"República",74.95,332321.412898694,7395260.93901752,747750.760742188,"República",8049.99999999999,8049.99999999999,14955.9998802143,1726.85247365992,89486.6554947104,1737.2514752505,186219.616198207,187152.743514786,74.95,34199116.7500479,4248.337484478,2286.64863760068,3500
6,"Santa Ifigênia",36,"São Paulo",67,"República",82.93,332757.083712344,7395856.28216274,827314.415771484,"Santa Ifigênia",9411,9411,21989.0005914764,2039.10945147948,38371.9222721626,1445.11308979983,109791.172946928,109350.517653356,82.93,25210174.5841227,2678.79870195758,1146.49024084773,2323.8951481989
7,"Luz",36,"São Paulo",9,"Bom Retiro",154.6,333156.153757324,7396716.11825878,1542273.73950195,"Luz",6342,6342,18209.9957504445,6873.47330782277,35047.9109600321,2400.90882061722,93161.0150792322,93680.5365105099,154.6,26804908.780961,4226.57029028083,1471.98874444036,3987.82002130741
8,"Bom Retiro",36,"São Paulo",9,"Bom Retiro",143.01,332104.977290049,7397746.29916278,1426645.10595703,"Bom Retiro",3834,4110.69886363636,12251.9977375263,3280.27097219311,15080.1571894508,1747.86679148487,40222.7057629595,40169.9964993743,143.01,13815269.5568516,3360.80798305681,1127.59321808697,2800
9,"Ponte Pequena",36,"São Paulo",9,"Bom Retiro",129.78,333542.572856953,7397526.60485192,1294644.75097656,"Ponte Pequena",2267,2267,7456.00014202449,6413.18473061895,16492.381602722,486.551737064903,36268.811627848,36521.8767485495,129.78,7670743.17408973,3383.65380418603,1028.80137177773,2500
10,"Canindé",36,"São Paulo",57,"Pari",82.61,334505.366513527,7397631.36457654,824160.696777344,"Canindé",467,467,1619.00021704519,7047.86518514606,6712.7648473094,134.030851847507,23889.9593183515,24030.4551172324,82.61,1026508.73405767,2198.09150761814,634.03866364585,2323.8951481989
11,"Bom Jardim",36,"São Paulo",57,"Pari",49.85,335554.765265837,7397464.07094645,497324.534179688,"Bom Jardim",932,932,2712.99999493744,1471.39356174026,3901.41057859686,488.485544428841,11403.0406719522,11380.7955705123,49.85,3239452.49020205,3475.80739292066,1194.04810034906,3000
12,"Pari",36,"São Paulo",57,"Pari",140.16,334910.157610877,7396847.21669098,1398204.69946289,"Pari",4741,4741,14380.99909466,1928.33950452516,21067.9593723246,2084.80620212964,46135.8333399882,44923.8245121851,140.16,16593523.8797886,3500.00503686746,1153.85056146414,2588.93015036554
13,"João Teodoro",36,"São Paulo",10,"Brás",39.32,334498.970249156,7396053.31599291,392247.704833984,"João Teodoro",423,423,1435.00004442857,265.727833039873,9281.37868477225,102.789167833719,25130.7683332723,24561.5572498803,39.32,1155116.9238223,2730.77286955627,804.959503873939,2550
14,"Oriente",36,"São Paulo",10,"Brás",69.88,335260.494555099,7395993.2631291,697091.225830078,"Oriente",1104,1104,3337.00098648564,1959.23495407147,27938.66378959,329.078832669604,66495.6297183525,66780.2655861709,69.88,3254030.50922804,2947.49140328627,975.136214345273,2732.57590976586
