oaci,ciad,nome,municipio,lon,lat,operacao,validade_registro,portaria
SIMM,SP0529,EDIFÍCIO CORPORATE PARK,SÃO PAULO,-46.67222222222222,-23.587444444444444,VFR Diurna/Noturna,19/08/2021,PA2018-3970
SNVO,SP0733,Vigor,SÃO PAULO,-46.60388888888889,-23.533055555555556,VFR Diurna/Noturna,12/02/2025,PA2019-0178
SSUF,SP0884,Rede D'Or São Luiz Anália Franco,SÃO PAULO,-46.55833333333333,-23.54888888888889,VFR Diurna/Noturna,,
SDNR,SP0391,Banco Santander,SÃO PAULO,-46.71388888888889,-23.65222222222222,VFR Diurna/Noturna,24/09/2023,PA2018-0644
SNIL,SP0847,HBR Lead Corporate Faria Lima,SÃO PAULO,-46.680138888888884,-23.592,VFR Diurna/Noturna,,
SWDJ,SP0872,Trend Tower,BARUERI,-46.85527777777778,-23.485666666666667,VFR Diurna/Noturna,,
SDAX,SP0293,Bradesco - Sta Cecília,SÃO PAULO,-46.649166666666666,-23.540000000000003,VFR Diurna/Noturna,04/08/2021,PA2011-1499
SSUH,SP0781,Helinorte,SÃO PAULO,-46.580555555555556,-23.415,VFR Diurna,23/06/2026,PA2016-1569
SDCQ,SP0305,Mediterrâneo,COTIA,-46.85302777777778,-23.593166666666665,VFR Diurna/Noturna,01/10/2023,PA2013-2547
SDEF,SP0315,Eco Fly,FERRAZ DE VASCONCELOS,-46.38611111111111,-23.53222222222222,VFR Diurna/Noturna,27/11/2024,PA2014-2821
SDMN,SP0385,Continental Tower,SÃO PAULO,-46.69916666666666,-23.601666666666667,VFR Diurna/Noturna,02/05/2023,PA2016-1331
SDEL,SP0319,Condomínio Edifício Spazio JK,SÃO PAULO,-46.68555555555555,-23.59111111111111,VFR Diurna/Noturna,06/03/2023,PA2017-0153
SDEW,SP0321,Júlio Simões - Garagem,MOGI DAS CRUZES,-46.229305555555555,-23.54188888888889,VFR Diurna/Noturna,17/07/2025,PA2015-1888
SDEY,SP0323,Imigrantes,DIADEMA,-46.60527777777778,-23.68888888888889,VFR Diurna,06/02/2025,PA2015-0286
SDEZ,SP0324,Unibanco Eusébio Matoso,SÃO PAULO,-46.69888888888889,-23.572499999999998,VFR Diurna/Noturna,17/04/2023,PA2013-0980
SDFM,SP0327,DJY,SÃO PAULO,-46.68527777777778,-23.5975,VFR Diurna/Noturna,24/07/2024,PA2014-1676
SDFP,SP0329,Folha de São Paulo,SÃO PAULO,-46.645833333333336,-23.53777777777778,VFR Diurna,06/03/2023,PA2013-0573
SDFV,SP0331,Federação Paulista de Futebol,SÃO PAULO,-46.66719444444444,-23.521666666666665,VFR Diurna/Noturna,06/01/2021,PA2011-0009
SDFW,SP0332,Condomínio Edifício San Paolo,SÃO PAULO,-46.687777777777775,-23.575,VFR Diurna/Noturna,04/03/2023,PA2013-1286
SDGE,SP0334,Casas Bahia,SÃO CAETANO DO SUL,-46.57055555555556,-23.610277777777778,VFR Diurna/Noturna,08/08/2021,PA2011-1496
SDGG,SP0335,Aché Faria Lima,SÃO PAULO,-46.69416666666666,-23.560833333333335,VFR Diurna/Noturna,11/03/2021,PA2011-0453
SDGO,SP0338,Braspress,GUARULHOS,-46.48555555555556,-23.454166666666666,VFR Diurna/Noturna,06/05/2025,PA2015-1055
SDGS,SP0339,Bertolucci,SÃO PAULO,-46.680277777777775,-23.585555555555555,VFR Diurna/Noturna,,
SDGW,SP0340,JKFC,SÃO PAULO,-46.67472222222222,-23.586666666666666,VFR Diurna/Noturna,06/03/2023,PA2013-0571
SDGZ,SP0341,Bradesco Cidade de Deus,OSASCO,-46.77222222222222,-23.54888888888889,VFR Diurna/Noturna,12/08/2021,PA2011-1528
SDHB,SP0342,Bradesco,OSASCO,-46.76833333333333,-23.548055555555557,VFR Diurna/Noturna,10/02/2021,PA2011-0225
SDHG,SP0344,Málaga,OSASCO,-46.778055555555554,-23.481666666666666,VFR Diurna/Noturna,20/12/2021,PA2011-2468
SDHI,SP0345,Hospital Gastroclínica,SÃO PAULO,-46.651666666666664,-23.595,VFR Diurna/Noturna,22/02/2021,PA2011-0333
SDHO,SP0346,Bradesco - Santo André,SANTO ANDRÉ,-46.52833333333333,-23.65583333333333,VFR Diurna,03/11/2021,PA2011-2123
SDHQ,SP0347,Shopping Leste Aricanduva,SÃO PAULO,-46.50472222222222,-23.5675,VFR Diurna,07/10/2023,PA2013-2598
SDHT,SP0348,Cetenco Plaza - Torre Norte,SÃO PAULO,-46.657583333333335,-23.558861111111113,VFR Diurna,26/04/2022,PA2013-1293
SDHV,SP0349,Hospital Albert Einstein,SÃO PAULO,-46.71527777777778,-23.60027777777778,VFR Diurna/Noturna,18/07/2023,PA2013-1854
SDHW,SP0350,Hospital Bandeirantes,SÃO PAULO,-46.63477777777778,-23.55761111111111,VFR Diurna/Noturna,04/07/2022,PA2013-0802
SDEG,SP0316,Evolution Corporate,BARUERI,-46.85111111111111,-23.504444444444445,VFR Diurna/Noturna,04/02/2024,PA2014-0289
SDEI,SP0317,Canopus Corporate Alphaville,BARUERI,-46.844722222222224,-23.503888888888888,VFR Diurna/Noturna,04/02/2023,PA2015-0290
SDAH,SP0287,Signo Resgate Alphaville,BARUERI,-46.848333333333336,-23.49361111111111,VFR Diurna/Noturna,23/07/2024,PA2016-2099
SDAP,SP0290,Hospital Paulistano,SÃO PAULO,-46.64227777777778,-23.565250000000002,VFR Diurna/Noturna,03/05/2022,PA2013-1290
SDAT,SP0291,Hospital e Maternidade Vitória,SÃO PAULO,-46.56166666666666,-23.563055555555557,VFR Diurna/Noturna,06/04/2021,PA2011-0666
SDAW,SP0292,Banco Industrial,SÃO PAULO,-46.68555555555555,-23.591944444444444,VFR Diurna,19/03/2023,PA2013-0724
SDBF,SP0295,Porto Seguro,SÃO PAULO,-46.64533333333333,-23.530388888888886,VFR Diurna/Noturna,10/12/2022,PA2012-2684
SDBH,SP0296,Bandeirantes,SÃO PAULO,-46.71072222222222,-23.595166666666664,VFR Diurna,28/02/2024,PA2014-0485
SDBL,SP0297,BFC,SÃO PAULO,-46.65416666666667,-23.56222222222222,VFR Diurna/Noturna,08/02/2022,PA2015-0289
SDBM,SP0298,Beneficência Portuguesa,SÃO PAULO,-46.64138888888889,-23.567777777777778,VFR Diurna/Noturna,13/09/2022,PA2012-1826
SDBR,SP0299,REC Berrini,SÃO PAULO,-46.69444444444444,-23.608333333333334,VFR Diurna/Noturna,31/12/9999,PA2014-0064
SDBS,SP0300,Os Bandeirantes,SÃO PAULO,-46.68722222222222,-23.57611111111111,VFR Diurna/Noturna,30/11/2021,PA2015-1858
SDBW,SP0302,Banespa República,SÃO PAULO,-46.644444444444446,-23.54361111111111,VFR Diurna,30/05/2022,PA2012-1074
SDCV,SP0306,Citibank,SÃO PAULO,-46.65361111111111,-23.565,VFR Diurna/Noturna,08/07/2021,PA2011-1320
SDCY,SP0307,Camargo Corrêa,SÃO PAULO,-46.687777777777775,-23.591666666666665,VFR Diurna/Noturna,03/11/2021,PA2016-0187
SDDH,SP0309,Birmann 29,SÃO PAULO,-46.68119444444444,-23.58872222222222,VFR Diurna/Noturna,20/08/2022,PA2013-1288
SDDP,SP0310,Delta Plaza,SÃO PAULO,-46.645833333333336,-23.5675,VFR Diurna,,
SDDS,SP0311,Sucupira,SÃO PAULO,-46.70333333333333,-23.624166666666667,VFR Diurna/Noturna,05/09/2028,PA2018-2626
SDEA,SP0313,Edifício HSBC Tower,SÃO PAULO,-46.68388888888889,-23.583055555555557,VFR Diurna/Noturna,01/10/2023,PA2013-2551
SDVU,SP0437,Conde Francisco Matarazzo,SÃO PAULO,-46.65286111111111,-23.563444444444446,VFR Diurna/Noturna,14/09/2025,PA2018-3424
SDVV,SP0438,Cragea-Suzano,SUZANO,-46.32222222222222,-23.641944444444444,VFR Diurna/Noturna,19/12/2023,PA2013-3326
SDWB,SP0440,CYK,SÃO PAULO,-46.651666666666664,-23.566111111111113,VFR Diurna/Noturna,,
SDWS,SP0441,Helicentro ALLTA,BARUERI,-46.919444444444444,-23.502777777777776,VFR Diurna/Noturna,06/03/2025,PA2015-0553
SDXP,SP0444,Guararema Parque Hotel,GUARAREMA,-46.02027777777778,-23.424166666666668,VFR Diurna,08/11/2020,PA2018-1863
SDXQ,SP0445,Internacional Plaza II,SÃO PAULO,-46.68227777777778,-23.591166666666666,VFR Diurna/Noturna,16/10/2022,PA2018-3002
SDYA,SP0449,Carmo Couri,SÃO PAULO,-46.68527777777778,-23.596666666666664,VFR Diurna,13/02/2023,PA2013-0391
SICG,SP0473,Rede TV,OSASCO,-46.76305555555555,-23.520833333333332,VFR Diurna/Noturna,01/03/2022,PA2016-3461
SDYO,SP0451,Hospital Santa Marcelina,SÃO PAULO,-46.461444444444446,-23.553722222222223,VFR Diurna/Noturna,12/04/2022,PA2013-1281
SDYR,SP0453,Panco II,SÃO PAULO,-46.69944444444444,-23.599444444444444,VFR Diurna,10/03/2024,PA2014-0530
SDYV,SP0454,SECOVI,SÃO PAULO,-46.64833333333333,-23.603611111111114,VFR Diurna/Noturna,11/02/2025,PA2015-0337
SDYZ,SP0455,Kuka,SÃO PAULO,-46.60136111111111,-23.569166666666668,VFR Diurna,11/12/2023,PA2013-3242
SDZE,SP0458,Ita,ITAPECERICA DA SERRA,-46.828611111111115,-23.70138888888889,VFR Diurna/Noturna,14/09/2025,PA2015-2400
SDZR,SP0460,SESI-FIESP,SÃO PAULO,-46.654694444444445,-23.563750000000002,VFR Diurna/Noturna,17/04/2023,PA2018-2853
SIAA,SP0462,Aeroandrés,MAIRIPORÃ,-46.638888888888886,-23.395222222222223,VFR Diurna,11/10/2020,PA2013-1394
SIEE,SP0483,Ecovias Imigrantes,SÃO BERNARDO DO CAMPO,-46.59655555555556,-23.784444444444446,VFR Diurna/Noturna,12/02/2025,PA2015-1857
SIAV,SP0464,Helipark,CARAPICUÍBA,-46.83027777777778,-23.564722222222223,VFR Diurna/Noturna,16/07/2022,PA2014-1400
SIBB,SP0465,Edifício Comendador Alberto Bonfiglioli,SÃO PAULO,-46.651944444444446,-23.564444444444444,VFR Diurna/Noturna,18/07/2023,PA2013-1853
SIBG,SP0466,Banco Induscred,SÃO PAULO,-46.65580555555555,-23.56438888888889,VFR Diurna/Noturna,13/02/2023,PA2013-2319
SIBH,SP0467,Helicidade,SÃO PAULO,-46.73694444444445,-23.546666666666667,VFR Diurna/Noturna,12/04/2022,PA2012-0664
SIBS,SP0470,E-Business Bosque,SÃO PAULO,-46.71027777777778,-23.511944444444445,VFR Diurna/Noturna,30/12/2024,PA2014-3165
SICZ,SP0477,Edifício Comercial Lorena,SÃO PAULO,-46.65563888888889,-23.57338888888889,VFR Diurna/Noturna,16/01/2023,PA2013-0111
SIDA,SP0478,Edifício Dakota,SÃO PAULO,-46.683611111111105,-23.594444444444445,VFR Diurna/Noturna,13/06/2022,PA2015-1362
SIDE,SP0479,Polícia Federal,SÃO PAULO,-46.70444444444445,-23.511388888888888,VFR Diurna/Noturna,24/01/2023,PA2013-0197
SIDH,SP0480,Brascan Century Plaza Green Valley Commercial,BARUERI,-46.86416666666667,-23.485555555555557,VFR Diurna/Noturna,07/11/2024,PA2015-2929
SDHY,SP0351,Edifício São Luís Gonzaga,SÃO PAULO,-46.661138888888885,-23.556694444444446,VFR Diurna/Noturna,11/07/2022,PA2013-0800
SDII,SP0354,iTower,BARUERI,-46.84930555555556,-23.504722222222224,VFR Diurna/Noturna,08/07/2021,PA2015-3191
SDIT,SP0357,Itaú NPD Paulista,SÃO PAULO,-46.658055555555556,-23.576666666666668,VFR Diurna/Noturna,24/01/2023,PA2013-0195
SDIW,SP0358,Edifício São Paulo Trade Building,SÃO PAULO,-46.68944444444444,-23.594166666666666,VFR Diurna/Noturna,20/06/2021,PA2013-2323
SDJK,SP0363,Centro Empresarial Araguaia,BARUERI,-46.841944444444444,-23.501944444444444,VFR Diurna/Noturna,05/06/2025,PA2017-0467
SDJP,SP0365,Igreja Mundial do Poder de Deus - IMPD,SÃO PAULO,-46.62075,-23.550833333333333,VFR Diurna/Noturna,19/11/2028,PA2018-3335
SDKG,SP0371,Francisco Mellão,SÃO PAULO,-46.68861111111111,-23.59361111111111,VFR Diurna/Noturna,10/04/2024,PA2014-0867
SDKM,SP0373,Hotel Emiliano,SÃO PAULO,-46.665277777777774,-23.566111111111113,VFR Diurna/Noturna,12/04/2022,PA2014-3143
