"cenario","theta","v_acesso_kmh","d_min_km","percentil_renda","p","status","demanda_total_dia","objetivo_h_dia","economia_total_h_dia","n_hubs_abertos","hubs"
"base",0.05,20,8,0.66,4,0,108404,66712.5,50760.2,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"theta=2%",0.02,20,8,0.66,4,0,43362,26685,20304.1,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"theta=10%",0.1,20,8,0.66,4,0,216808,133424.9,101520.4,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"theta=15%",0.15,20,8,0.66,4,0,325212,200137.4,152280.5,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"v_acesso=15",0.05,15,8,0.66,4,0,108404,81481,75149.2,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"v_acesso=25",0.05,25,8,0.66,4,0,108404,57851.3,36126.8,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"v_acesso=30",0.05,30,8,0.66,4,0,108404,51943.9,26371.2,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"d_min=5km",0.05,20,5,0.66,4,0,108404,66712.5,50760.2,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"d_min=12km",0.05,20,12,0.66,4,0,108404,66712.5,50760.2,4,"São Bernardo do Campo; Guarulhos; Itaim Bibi; Jardim Paulista"
"renda_pctl=50%",0.05,20,8,0.5,4,0,124817,76841.6,64136,4,"São Bernardo do Campo; Osasco; Itaim Bibi; Jardim Paulista"
"renda_pctl=80%",0.05,20,8,0.8,4,0,89312,58710.5,35135.4,4,"Guarulhos; Osasco; Itaim Bibi; Jardim Paulista"
